Tiempo(ms),RPM,pwm
10444,1500.0,7864
10448,750.0,7864
10452,1500.0,7864
10456,1500.0,7864
10460,750.0,7864
10464,1500.0,7864
10468,750.0,7864
10472,1500.0,7864
10476,1500.0,7864
10480,750.0,7864
10484,1500.0,7864
10488,1500.0,7864
10492,1500.0,7864
10496,750.0,7864
10500,1500.0,7864
10504,1500.0,7864
10508,750.0,7864
10512,1500.0,7864
10516,1500.0,7864
10520,1500.0,7864
10524,750.0,7864
10528,1500.0,7864
10532,1500.0,7864
10536,1500.0,7864
10540,750.0,7864
10544,1500.0,7864
10548,1500.0,7864
10552,1500.0,7864
10556,750.0,7864
10560,1500.0,7864
10564,1500.0,7864
10568,1500.0,7864
10572,1500.0,7864
10576,1500.0,7864
10580,750.0,7864
10584,1500.0,7864
10588,1500.0,7864
10592,1500.0,7864
10596,1500.0,7864
10600,1500.0,7864
10604,750.0,7864
10608,1500.0,7864
10612,1500.0,7864
10616,1500.0,7864
10620,1500.0,7864
10624,1500.0,7864
10628,1500.0,7864
10632,1500.0,7864
10636,750.0,7864
10640,1500.0,7864
10644,1500.0,7864
10648,1500.0,7864
10652,1500.0,7864
10656,1500.0,7864
10660,1500.0,7864
10664,1500.0,7864
10668,1500.0,7864
10672,1500.0,7864
10676,1500.0,7864
10680,1500.0,7864
10684,1500.0,7864
10688,1500.0,7864
10692,750.0,7864
10696,1500.0,7864
10700,2250.0,7864
10704,1500.0,7864
10708,1500.0,7864
10712,1500.0,7864
10716,750.0,7864
10720,1500.0,7864
10724,1500.0,7864
10728,1500.0,7864
10732,1500.0,7864
10736,1500.0,7864
10740,2250.0,7864
10744,1500.0,7864
10748,1500.0,7864
10752,1500.0,7864
10756,1500.0,7864
10760,1500.0,7864
10764,1500.0,7864
10768,1500.0,7864
10772,1500.0,7864
10776,1500.0,7864
10780,1500.0,7864
10784,1500.0,7864
10788,1500.0,7864
10792,1500.0,7864
10796,1500.0,7864
10800,1500.0,7864
10804,1500.0,7864
10808,2250.0,7864
10812,1500.0,7864
10816,1500.0,7864
10820,1500.0,7864
10824,1500.0,7864
10828,1500.0,7864
10832,1500.0,7864
10836,1500.0,7864
10840,1500.0,7864
10844,2250.0,7864
10848,1500.0,7864
10852,1500.0,7864
10856,1500.0,7864
10860,1500.0,7864
10864,1500.0,7864
10868,2250.0,7864
10872,1500.0,7864
10876,1500.0,7864
10880,1500.0,7864
10884,1500.0,7864
10888,1500.0,7864
10892,2250.0,7864
10896,1500.0,7864
10900,1500.0,7864
10904,1500.0,7864
10908,1500.0,7864
10912,1500.0,7864
10916,2250.0,7864
10920,1500.0,7864
10924,1500.0,7864
10928,1500.0,7864
10932,1500.0,7864
10936,2250.0,7864
10940,1500.0,7864
10944,1500.0,7864
10948,1500.0,7864
10952,1500.0,7864
10956,2250.0,7864
10960,1500.0,7864
10964,1500.0,7864
10968,1500.0,7864
10972,2250.0,7864
10976,1500.0,7864
10980,1500.0,7864
10984,1500.0,7864
10988,2250.0,7864
10992,1500.0,7864
10996,1500.0,7864
11000,1500.0,7864
11004,2250.0,7864
11008,1500.0,7864
11012,1500.0,7864
11016,2250.0,7864
11020,1500.0,7864
11024,1500.0,7864
11028,1500.0,7864
11032,2250.0,7864
11036,1500.0,7864
11040,1500.0,7864
11044,2250.0,7864
11048,1500.0,7864
11052,1500.0,7864
11056,1500.0,7864
11060,2250.0,7864
11064,1500.0,7864
11068,1500.0,7864
11072,2250.0,7864
11076,1500.0,7864
11080,1500.0,7864
11084,2250.0,7864
11088,1500.0,7864
11092,1500.0,7864
11096,1500.0,7864
11100,2250.0,7864
11104,1500.0,7864
11108,2250.0,7864
11112,1500.0,7864
11116,1500.0,7864
11120,2250.0,7864
11124,1500.0,7864
11128,1500.0,7864
11132,2250.0,7864
11136,1500.0,7864
11140,1500.0,7864
11144,2250.0,7864
11148,1500.0,7864
11152,1500.0,7864
11156,2250.0,7864
11160,1500.0,7864
11164,1500.0,7864
11168,2250.0,7864
11172,1500.0,7864
11176,2250.0,7864
11180,1500.0,7864
11184,1500.0,7864
11188,2250.0,7864
11192,1500.0,7864
11196,1500.0,7864
11200,2250.0,7864
11204,1500.0,7864
11208,2250.0,7864
11212,1500.0,7864
11216,2250.0,7864
11220,1500.0,7864
11224,1500.0,7864
11228,2250.0,7864
11232,1500.0,7864
11236,2250.0,7864
11240,1500.0,7864
11244,1500.0,7864
11248,2250.0,7864
11252,1500.0,7864
11256,2250.0,7864
11260,1500.0,7864
11264,1500.0,7864
11268,2250.0,7864
11272,1500.0,7864
11276,2250.0,7864
11280,1500.0,7864
11284,2250.0,7864
11288,1500.0,7864
11292,2250.0,7864
11296,1500.0,7864
11300,1500.0,7864
11304,2250.0,7864
11308,1500.0,7864
11312,2250.0,7864
11316,1500.0,7864
11320,2250.0,7864
11324,1500.0,7864
11328,2250.0,7864
11332,1500.0,7864
11336,2250.0,7864
11340,1500.0,7864
11344,2250.0,7864
11348,1500.0,7864
11352,2250.0,7864
11356,1500.0,7864
11360,1500.0,7864
11364,2250.0,7864
11368,1500.0,7864
11372,2250.0,7864
11376,1500.0,7864
11380,2250.0,7864
11384,1500.0,7864
11388,2250.0,7864
11392,1500.0,7864
11396,2250.0,7864
11400,1500.0,7864
11404,2250.0,7864
11408,1500.0,7864
11412,2250.0,7864
11416,1500.0,7864
11420,2250.0,7864
11424,1500.0,7864
11428,2250.0,7864
11432,1500.0,7864
11436,2250.0,7864
11440,1500.0,7864
11444,2250.0,7864
11448,1500.0,7864
11452,2250.0,7864
11456,1500.0,7864
11460,2250.0,7864
11464,1500.0,7864
11468,2250.0,7864
11472,2250.0,7864
11476,1500.0,7864
11480,2250.0,7864
11484,1500.0,7864
11488,2250.0,7864
11492,1500.0,7864
11496,2250.0,7864
11500,1500.0,7864
11504,2250.0,7864
11508,1500.0,7864
11512,2250.0,7864
11516,1500.0,7864
11520,2250.0,7864
11524,1500.0,7864
11528,2250.0,7864
11532,2250.0,7864
11536,1500.0,7864
11540,2250.0,7864
11544,1500.0,7864
11548,2250.0,7864
11552,1500.0,7864
11556,2250.0,7864
11560,1500.0,7864
11564,2250.0,7864
11568,1500.0,7864
11572,2250.0,7864
11576,1500.0,7864
11580,2250.0,7864
11584,1500.0,7864
11588,2250.0,7864
11592,2250.0,7864
11596,1500.0,7864
11600,2250.0,7864
11604,1500.0,7864
11608,2250.0,7864
11612,1500.0,7864
11616,2250.0,7864
11620,1500.0,7864
11624,2250.0,7864
11628,2250.0,7864
11632,1500.0,7864
11636,2250.0,7864
11640,1500.0,7864
11644,2250.0,7864
11648,1500.0,7864
11652,2250.0,7864
11656,2250.0,7864
11660,1500.0,7864
11664,2250.0,7864
11668,1500.0,7864
11672,2250.0,7864
11676,1500.0,7864
11680,2250.0,7864
11684,1500.0,7864
11688,2250.0,7864
11692,2250.0,7864
11696,1500.0,7864
11700,2250.0,7864
11704,1500.0,7864
11708,2250.0,7864
11712,1500.0,7864
11716,2250.0,7864
11720,2250.0,7864
11724,1500.0,7864
11728,2250.0,7864
11732,1500.0,7864
11736,2250.0,7864
11740,1500.0,7864
11744,2250.0,7864
11748,2250.0,7864
11752,1500.0,7864
11756,2250.0,7864
11760,1500.0,7864
11764,2250.0,7864
11768,1500.0,7864
11772,2250.0,7864
11776,2250.0,7864
