Tiempo(ms),RPM
8842,3750.00
8846,4500.00
8850,4500.00
8854,4500.00
8858,3750.00
8862,4500.00
8866,4500.00
8870,4500.00
8874,4500.00
8878,3750.00
8882,4500.00
8886,4500.00
8890,4500.00
8894,4500.00
8898,4500.00
8902,4500.00
8906,4500.00
8910,3750.00
8914,4500.00
8918,4500.00
8922,4500.00
8926,4500.00
8930,4500.00
8934,4500.00
8938,4500.00
8942,4500.00
8946,4500.00
8950,4500.00
8954,4500.00
8958,4500.00
8962,4500.00
8966,5250.00
8970,4500.00
8974,4500.00
8978,4500.00
8982,4500.00
8986,4500.00
8990,4500.00
8994,4500.00
8998,4500.00
9002,5250.00
9006,4500.00
9010,4500.00
9014,4500.00
9018,5250.00
9022,4500.00
9026,4500.00
9030,4500.00
9034,4500.00
9038,5250.00
9042,4500.00
9046,4500.00
9050,4500.00
9054,5250.00
9058,4500.00
9062,4500.00
9066,5250.00
9070,4500.00
9074,4500.00
9078,5250.00
9082,4500.00
9086,5250.00
9090,4500.00
9094,4500.00
9098,5250.00
9102,4500.00
9106,5250.00
9110,4500.00
9114,4500.00
9118,5250.00
9122,4500.00
9126,5250.00
9130,4500.00
9134,5250.00
9138,4500.00
9142,5250.00
9146,4500.00
9150,5250.00
9154,4500.00
9158,5250.00
9162,4500.00
9166,5250.00
9170,5250.00
9174,4500.00
9178,5250.00
9182,4500.00
9186,5250.00
9190,5250.00
9194,4500.00
9198,5250.00
9202,4500.00
9206,5250.00
9210,5250.00
9214,4500.00
9218,5250.00
9222,4500.00
9226,5250.00
9230,5250.00
9234,4500.00
9238,5250.00
9242,4500.00
9246,5250.00
9250,4500.00
9254,5250.00
9258,5250.00
9262,4500.00
9266,5250.00
9270,5250.00
9274,4500.00
9278,5250.00
9282,5250.00
9286,5250.00
9290,4500.00
9294,5250.00
9298,5250.00
9302,5250.00
9306,4500.00
9310,5250.00
9314,5250.00
9318,4500.00
9322,5250.00
9326,5250.00
9330,5250.00
9334,4500.00
9338,5250.00
9342,5250.00
9346,5250.00
9350,4500.00
9354,5250.00
9358,5250.00
9362,5250.00
9366,4500.00
9370,5250.00
9374,5250.00
9378,4500.00
9382,5250.00
9386,5250.00
9390,5250.00
9394,4500.00
9398,5250.00
9402,5250.00
9406,5250.00
9410,5250.00
9414,4500.00
9418,5250.00
9422,5250.00
9426,5250.00
9430,5250.00
9434,5250.00
9438,5250.00
9442,5250.00
9446,4500.00
9450,5250.00
9454,5250.00
9458,5250.00
9462,5250.00
9466,5250.00
9470,5250.00
9474,5250.00
9478,5250.00
9482,5250.00
9486,5250.00
9490,5250.00
9494,4500.00
9498,5250.00
9502,5250.00
9506,5250.00
9510,5250.00
9514,5250.00
9518,5250.00
9522,5250.00
9526,5250.00
9530,5250.00
9534,5250.00
9538,5250.00
9542,5250.00
9546,6000.00
9550,5250.00
9554,5250.00
9558,5250.00
9562,5250.00
9566,5250.00
9570,5250.00
9574,5250.00
9578,5250.00
9582,5250.00
9586,5250.00
9590,5250.00
9594,5250.00
9598,5250.00
9602,6000.00
9606,5250.00
9610,5250.00
9614,5250.00
9618,5250.00
9622,5250.00
9626,5250.00
9630,5250.00
9634,6000.00
9638,5250.00
9642,5250.00
9646,5250.00
9650,5250.00
9654,5250.00
9658,6000.00
9662,5250.00
9666,5250.00
9670,5250.00
9674,5250.00
9678,6000.00
9682,5250.00
9686,5250.00
9690,5250.00
9694,5250.00
9698,6000.00
9702,5250.00
9706,5250.00
9710,5250.00
9714,6000.00
9718,5250.00
9722,5250.00
9726,5250.00
9730,6000.00
9734,5250.00
9738,5250.00
9742,5250.00
9746,6000.00
9750,5250.00
9754,5250.00
9758,6000.00
9762,5250.00
9766,5250.00
9770,6000.00
9774,5250.00
9778,5250.00
9782,5250.00
9786,6000.00
9790,5250.00
9794,5250.00
9798,6000.00
9802,5250.00
9806,5250.00
9810,6000.00
9814,5250.00
9818,5250.00
9822,6000.00
9826,5250.00
9830,5250.00
9834,6000.00
9838,5250.00
9842,5250.00
9846,6000.00
9850,5250.00
9854,6000.00
9858,5250.00
9862,5250.00
9866,6000.00
9870,5250.00
9874,6000.00
9878,5250.00
9882,5250.00
9886,6000.00
9890,5250.00
9894,6000.00
9898,5250.00
9902,6000.00
9906,5250.00
9910,5250.00
9914,6000.00
9918,5250.00
9922,6000.00
9926,5250.00
9930,5250.00
9934,6000.00
9938,5250.00
9942,6000.00
9946,5250.00
9950,6000.00
9954,5250.00
9958,6000.00
9962,5250.00
9966,6000.00
9970,5250.00
9974,6000.00
9978,5250.00
9982,5250.00
9986,6000.00
9990,5250.00
9994,6000.00
9998,5250.00
10002,6000.00
10006,5250.00
10010,6000.00
10014,5250.00
10018,6000.00
10022,6000.00
10026,5250.00
10030,6000.00
10034,6000.00
10038,6000.00
10042,6000.00
10046,5250.00
10050,6000.00
10054,6000.00
10058,6000.00
10062,6000.00
10066,6000.00
10070,6750.00
10074,6000.00
10078,6000.00
10082,6000.00
10086,6000.00
10090,6750.00
10094,6000.00
10098,6000.00
10102,6750.00
10106,6000.00
10110,6750.00
10114,6000.00
10118,6750.00
10122,6000.00
10126,6750.00
10130,6000.00
10134,6750.00
10138,6750.00
10142,6000.00
10146,6750.00
10150,6750.00
10154,6750.00
10158,6000.00
10162,6750.00
10166,6750.00
10170,6750.00
10174,6750.00
10178,6750.00
10182,6750.00
10186,6750.00
10190,7500.00
10194,6750.00
10198,6750.00
10202,6750.00
10206,6750.00
10210,6750.00
10214,7500.00
10218,6750.00
10222,6750.00
10226,7500.00
10230,6750.00
10234,7500.00
10238,6750.00
10242,7500.00
10246,6750.00
10250,7500.00
10254,6750.00
10258,7500.00
10262,6750.00
10266,7500.00
10270,6750.00
10274,7500.00
10278,7500.00
10282,7500.00
10286,6750.00
10290,7500.00
10294,7500.00
10298,7500.00
10302,7500.00
10306,7500.00
10310,7500.00
10314,7500.00
10318,7500.00
10322,7500.00
10326,7500.00
10330,7500.00
10334,7500.00
10338,7500.00
10342,7500.00
10346,7500.00
10350,7500.00
10354,7500.00
10358,8250.00
10362,7500.00
10366,7500.00
10370,7500.00
10374,8250.00
10378,7500.00
10382,7500.00
10386,8250.00
10390,7500.00
10394,8250.00
10398,7500.00
10402,7500.00
10406,8250.00
10410,7500.00
10414,8250.00
10418,7500.00
10422,8250.00
10426,7500.00
10430,8250.00
10434,8250.00
10438,7500.00
10442,8250.00
10446,8250.00
10450,7500.00
10454,8250.00
10458,8250.00
10462,7500.00
10466,8250.00
10470,8250.00
10474,8250.00
10478,8250.00
10482,7500.00
10486,8250.00
10490,8250.00
10494,8250.00
10498,8250.00
10502,8250.00
10506,8250.00
10510,7500.00
10514,9000.00
10518,7500.00
10522,9000.00
10526,7500.00
10530,9000.00
10534,8250.00
10538,8250.00
10542,8250.00
10546,8250.00
10550,8250.00
10554,8250.00
10558,8250.00
10562,8250.00
10566,8250.00
10570,9000.00
10574,8250.00
10578,8250.00
10582,8250.00
10586,9000.00
10590,8250.00
10594,8250.00
10598,8250.00
10602,9000.00
10606,8250.00
10610,8250.00
10614,9000.00
10618,8250.00
10622,8250.00
10626,8250.00
10630,9000.00
10634,8250.00
10638,9000.00
10642,8250.00
10646,8250.00
10650,9000.00
10654,8250.00
10658,9000.00
10662,8250.00
10666,9000.00
10670,8250.00
10674,9000.00
10678,8250.00
10682,9000.00
